Daerah,Transisi Energi #1,Energi Baru Terbarukan #1 ,Krisis Iklim/Perubahan Iklim #1,Mineral Kritis #1
Kota Palu,Ya,Tidak,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Tidak,Ya,Tidak
Kota Palu,,,,
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Tidak
Kota Palu,Tidak,Tidak,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Tidak
Prov Palu,Ya,Ya,Ya,Tidak
Prov Palu,Tidak,Ya,Ya,Tidak
Sigi,Ya,Ya,Ya,Ya
Morowali,Tidak,Tidak,Ya,Tidak
Sigi,Tidak,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Morowali Utara,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Morowali,Tidak,Tidak,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Sigi,Tidak,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Tidak
Sigi,Ya,Ya,Ya,
Sigi,Ya,Ya,Ya,Ya
Sigi,Ya,Tidak,Ya,Ya
Morowali Utara,Ya,Ya,Ya,Ya
Morowali,,,Ya,
Kota Palu,Ya,Tidak,Ya,Tidak
Morowali Utara,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali Utara,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Tidak
Morowali Utara,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,,Ya,Ya,
Sigi,Ya,Ya,Ya,Ya
,Ya,Ya,Ya,Tidak
Prov Palu,,,Ya,
Sigi,,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Tidak
Kota Palu,Tidak,Ya,Ya,Tidak
,,,,
Morowali,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,
Sigi,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Ya,Tidak,Ya
Prov Palu,,,Ya,
Sigi,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,,Ya,
Sigi,Ya,Ya,Ya,Ya
Morowali,Tidak,Tidak,Ya,Tidak
Prov Palu,Ya,Ya,Ya,
