Daerah,Transisi Energi #1,Energi Baru Terbarukan #1 ,Krisis Iklim/Perubahan Iklim #1,Mineral Kritis #1,Transisi Energi - Teman,Transisi Energi - Keluarga,Transisi Energi - Media Sosial,Transisi Energi - Pemerintah,Transisi Energi - Media Massa,Transisi Energi - Event,Transisi Energi - Buku,Transisi Energi - Internet,Transisi Energi - Lainnya,Transisi Energi - Tidak Tahu,Energi Baru Terbarukan - Teman,Energi Baru Terbarukan - Keluarga,Energi Baru Terbarukan - Media Sosial,Energi Baru Terbarukan - Pemerintah,Energi Baru Terbarukan - Media Massa,Energi Baru Terbarukan - Event,Energi Baru Terbarukan - Buku,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Lainnya,Energi Baru Terbarukan - Tidak Tahu,Krisis Iklim/Perubahan Iklim - Teman,Krisis Iklim/Perubahan Iklim - Keluarga,Krisis Iklim/Perubahan Iklim - Media Sosial,Krisis Iklim/Perubahan Iklim - Pemerintah,Krisis Iklim/Perubahan Iklim - Media Massa,Krisis Iklim/Perubahan Iklim - Event,Krisis Iklim/Perubahan Iklim - Buku,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Teman,Mineral Kritis - Keluarga,Mineral Kritis - Media Sosial,Mineral Kritis - Pemerintah,Mineral Kritis - Media Massa,Mineral Kritis - Event,Mineral Kritis - Buku,Mineral Kritis - Internet,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Kota Palu,Ya,Tidak,Ya,Ya,,,,,,,,,Lainnya,,,,,,,,,,Lainnya,,,,,,,,,,Lainnya,,,,,,,,,,Lainnya,
Kota Palu,Ya,Ya,Ya,Ya,,,,Pemerintah,,,Buku,Internet,,,,,,Pemerintah,,,Buku,Internet,,,,,,Pemerintah,,,Buku,Internet,,,,,,Pemerintah,,,Buku,Internet,,
Kota Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,,,,Media Sosial,,,,,,,
Kota Palu,Tidak,Ya,Ya,Ya,,,,,,,,,,Tidak Tahu,,,Media Sosial,,,Event,,Internet,,,Teman,,Media Sosial,,,Event,,Internet,,,Teman,,,,,,,,,
Kota Palu,Ya,Ya,Ya,Ya,Teman,,,Pemerintah,,,,,Lainnya,,Teman,,,Pemerintah,,,,,Lainnya,,Teman,,,Pemerintah,,,,,Lainnya,,Teman,,,Pemerintah,,,,,Lainnya,
Kota Palu,Ya,Ya,Ya,Tidak,,,,,Media Massa,,,Internet,,,,,Media Sosial,,Media Massa,,,Internet,,,,,,,Media Massa,,,Internet,,,,,,,,,,,,Tidak Tahu
Kota Palu,Ya,Ya,Ya,Ya,Teman,,,,,Event,,Internet,,,Teman,,,,,Event,,Internet,,,Teman,,,,,Event,,Internet,,,Teman,,,,,Event,,Internet,,
Kota Palu,Ya,Ya,Ya,Ya,Teman,,,,,,,Internet,,,Teman,,,,,,,Internet,,,Teman,,,,,,,Internet,,,Teman,,,,,,,Internet,,
Kota Palu,Ya,Tidak,Ya,Tidak,,,Media Sosial,,,,,Internet,,,,,,,,,,,,Tidak Tahu,,,Media Sosial,,,,,Internet,,,,,,,,,,,,Tidak Tahu
Kota Palu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kota Palu,Ya,Ya,Ya,Ya,,,,,,,,Internet,,,,,,,,,,Internet,,,,,,,,,,Internet,,,,,,,,,,Internet,,
Kota Palu,Ya,Ya,Ya,Ya,Teman,,Media Sosial,,,,,Internet,,,Teman,,Media Sosial,,,,,Internet,,,Teman,,Media Sosial,,,,,Internet,,,Teman,,Media Sosial,,,,,Internet,,
Kota Palu,Tidak,Ya,Ya,Tidak,,,Media Sosial,,Media Massa,,,Internet,Lainnya,,,,Media Sosial,,Media Massa,,,,,,,,Media Sosial,,Media Massa,,,Internet,,,,,,,,,,,,Tidak Tahu
Kota Palu,Ya,Ya,Ya,Tidak,,,Media Sosial,,,,,Internet,,,,,Media Sosial,,,,,Internet,,,Teman,,Media Sosial,,,Event,,Internet,,,,,,,,,,,,Tidak Tahu
Kota Palu,Tidak,Tidak,Ya,Tidak,,,,,,,,,,Tidak Tahu,,,,,,,,,,Tidak Tahu,Teman,,Media Sosial,,,,,,,,,,,,,,,,,Tidak Tahu
Kota Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,Media Massa,,,Internet,Lainnya,,,,Media Sosial,,Media Massa,,,Internet,Lainnya,,,,Media Sosial,,Media Massa,,,Internet,Lainnya,,,,Media Sosial,,Media Massa,,,Internet,Lainnya,
Kota Palu,Ya,Ya,Ya,Tidak,Teman,,,,Media Massa,,,Internet,,,Teman,,,,Media Massa,,,Internet,,,Teman,,,,Media Massa,,,Internet,,,,,,,,,,,,Tidak Tahu
Kota Palu,Ya,Ya,Ya,Ya,,,Media Sosial,,,,,Internet,,,,,,,Media Massa,,,Internet,,,,,,,Media Massa,,,Internet,,,,,Media Sosial,Pemerintah,,,,,,
Kota Palu,Ya,Ya,Ya,Ya,Teman,,,,Media Massa,,,,,,Teman,,,,Media Massa,,,,,,Teman,,,,Media Massa,,,,,,Teman,,,,Media Massa,,,,,
