Daerah,Transisi Energi - Facebook,Transisi Energi - Twitter/ X,Transisi Energi - Instagram,Transisi Energi - Tik Tok,Transisi Energi - Whatsapp,Transisi Energi - Koran,Transisi Energi - Radio,Transisi Energi - Internet,Transisi Energi - Televisi,Transisi Energi - Lainnya.,Transisi Energi - Tidak Tahu.,Energi Baru Terbarukan - Facebook,Energi Baru Terbarukan - Twitter/ X,Energi Baru Terbarukan - Instagram,Energi Baru Terbarukan - Tik Tok,Energi Baru Terbarukan - Whatsapp,Energi Baru Terbarukan - Koran,Energi Baru Terbarukan - Radio,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Televisi,Energi Baru Terbarukan - Lainnya.,Energi Baru Terbarukan - Tidak Tahu.,Krisis Iklim/Perubahan Iklim - Facebook,Krisis Iklim/Perubahan Iklim - Twitter/ X,Krisis Iklim/Perubahan Iklim - Instagram,Krisis Iklim/Perubahan Iklim - Tik Tok,Krisis Iklim/Perubahan Iklim - Whatsapp,Krisis Iklim/Perubahan Iklim - Koran,Krisis Iklim/Perubahan Iklim - Radio,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Televisi,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Facebook,Mineral Kritis - Twitter/ X,Mineral Kritis - Instagram,Mineral Kritis - Tik Tok,Mineral Kritis - Whatsapp,Mineral Kritis - Koran,Mineral Kritis - Radio,Mineral Kritis - Internet,Mineral Kritis - Televisi,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Kota Palu,,,,,,,,,,,,,,,,,,,,,Lainnya,,,,,,,,,,,Lainnya,,,,,,,,,,,Lainnya,
Kota Palu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Kota Palu,Facebook,Twitter/ X,Instagram,,,,,,,,,Facebook,Twitter/ X,Instagram,,,,,,,,,Facebook,Twitter/ X,Instagram,,,,,,,,,Facebook,Twitter/ X,Instagram,,,,,,,,
Kota Palu,,,,,,,,,,,Tidak Tahu,,Twitter/ X,Instagram,,,,,Internet,,,,,Twitter/ X,Instagram,,,,,Internet,,,,,,,,,,,,,Lainnya,
Kota Palu,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,Lainnya,
Kota Palu,,Twitter/ X,Instagram,,,,,Internet,,,,,Twitter/ X,Instagram,,,,,Internet,,,,,Twitter/ X,Instagram,,,,,Internet,,,,,,,,,,,,,,Tidak Tahu
Kota Palu,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,Lainnya,,,,,,,,,Internet,,Lainnya,
Kota Palu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Kota Palu,,,Instagram,,,,,Internet,Televisi,,,,,,,,,,,,,Tidak Tahu,Facebook,,Instagram,,,,,Internet,Televisi,,,,,,,,,,,,,Tidak Tahu
Kota Palu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kota Palu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Kota Palu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Kota Palu,,,,,,,,,,,Tidak Tahu,Facebook,,Instagram,,,,,Internet,,,,Facebook,Twitter/ X,Instagram,,Whatsapp,,,Internet,Televisi,,,,,,,,,,,,,Tidak Tahu
Kota Palu,,,Instagram,,,,,Internet,,,,,,Instagram,,,,,Internet,,,,,,Instagram,,,,,Internet,,,,,,,,,,,,,,Tidak Tahu
Kota Palu,,,,,,,,,,,,,,,,,,,,,,,Facebook,,Instagram,Tik Tok,Whatsapp,,,,,,,,,,,,,,,,,
Kota Palu,,,Instagram,,Whatsapp,Koran,,Internet,,,,,,Instagram,,Whatsapp,Koran,,Internet,,,,,,Instagram,,Whatsapp,Koran,,Internet,,,,,,Instagram,,Whatsapp,Koran,,Internet,,,
Kota Palu,,,,,Whatsapp,Koran,,Internet,Televisi,,,,,,,Whatsapp,Koran,,Internet,Televisi,,,,,,,Whatsapp,Koran,,Internet,Televisi,,,,,,,,,,,,,Tidak Tahu
Kota Palu,,,,,Whatsapp,,,Internet,,,,,,,,Whatsapp,,,Internet,,,,,,,,Whatsapp,,,Internet,,,,,,,,Whatsapp,,,Internet,,,
Kota Palu,Facebook,Twitter/ X,,Tik Tok,,,,Internet,,,,Facebook,Twitter/ X,,Tik Tok,,,,Internet,,,,Facebook,Twitter/ X,,Tik Tok,,,,Internet,,,,Facebook,Twitter/ X,,Tik Tok,,,,Internet,,,
Prov Palu,,,Instagram,,Whatsapp,,,Internet,,,,,,Instagram,,Whatsapp,,,Internet,,,,,,Instagram,,Whatsapp,,,Internet,,,,,,Instagram,,Whatsapp,,,Internet,,,
Prov Palu,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,
Sigi,,,Instagram,,Whatsapp,Koran,Radio,Internet,,,,,Twitter/ X,Instagram,,Whatsapp,,Radio,Internet,Televisi,,,,,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,,,Facebook,,Instagram,Tik Tok,Whatsapp,,,Internet,Televisi,Lainnya,
Prov Palu,,,,,Whatsapp,Koran,Radio,Internet,Televisi,,,,,,,Whatsapp,Koran,,Internet,Televisi,,,,,,,Whatsapp,Koran,Radio,Internet,Televisi,,,,,,,,,,Internet,,,
Prov Palu,,Twitter/ X,,,Whatsapp,,,Internet,,,,,,,,Whatsapp,,,Internet,,,,,,Instagram,,,,,Internet,,,,,,Instagram,,,,,,,Lainnya,
Prov Palu,,,,,Whatsapp,,Radio,Internet,Televisi,,,,,,,Whatsapp,,Radio,Internet,Televisi,,,,,,,Whatsapp,,Radio,Internet,Televisi,,,,,,,,,,,,,Tidak Tahu
Prov Palu,,,Instagram,,Whatsapp,,,Internet,Televisi,,,,,,,,,,Internet,,,,Facebook,,,,Whatsapp,,,,,,,,,,,,,,,,,Tidak Tahu
Prov Palu,Facebook,Twitter/ X,,,Whatsapp,,Radio,Internet,Televisi,,,Facebook,,,,Whatsapp,,,Internet,Televisi,,,Facebook,,,,Whatsapp,,,Internet,Televisi,,,,,,,,,,,,Lainnya,
Sigi,Facebook,,Instagram,,Whatsapp,,Radio,Internet,Televisi,,,Facebook,Twitter/ X,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,,,Facebook,,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,,Instagram,Tik Tok,Whatsapp,Koran,,Internet,Televisi,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,,,,,Whatsapp,Koran,,Internet,Televisi,,,,,,,,,,,,,
Sigi,,,,,,,,,,,Tidak Tahu,Facebook,,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,Twitter/ X,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,Twitter/ X,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,
Prov Palu,,,Instagram,,Whatsapp,,,Internet,Televisi,,,,,Instagram,,Whatsapp,,,Internet,,,,,,Instagram,,Whatsapp,,Radio,Internet,Televisi,,,,,,,,,,,Televisi,Lainnya,
Prov Palu,,,Instagram,,Whatsapp,,,Internet,,,,,,Instagram,,Whatsapp,,,Internet,,,,,,Instagram,,Whatsapp,,,Internet,,,,,,,,,,,,,Lainnya,
Kota Palu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,,Televisi,,,,,,,,,,Internet,,,
Kota Palu,Facebook,Twitter/ X,Instagram,,Whatsapp,,,Internet,,,,Facebook,Twitter/ X,Instagram,,Whatsapp,,,Internet,,,,Facebook,Twitter/ X,Instagram,,Whatsapp,,,Internet,,,,Facebook,Twitter/ X,Instagram,,Whatsapp,,,Internet,,,
Morowali Utara,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,
Kota Palu,Facebook,Twitter/ X,Instagram,,,,,Internet,,,,Facebook,Twitter/ X,Instagram,,,,,Internet,,,,Facebook,Twitter/ X,Instagram,,,,,Internet,,,,Facebook,Twitter/ X,Instagram,,,,,Internet,,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,
Sigi,Facebook,,Instagram,Tik Tok,Whatsapp,,Radio,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,,Instagram,Tik Tok,Whatsapp,Koran,,Internet,Televisi,,
Sigi,,,,,,,,,,,Tidak Tahu,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,,,,Tidak Tahu
Kota Palu,Facebook,,,,Whatsapp,Koran,,,Televisi,,,,,,,Whatsapp,,,,Televisi,,,,,,,Whatsapp,Koran,,,Televisi,,,,,,,Whatsapp,Koran,,,Televisi,,
Prov Palu,,Twitter/ X,Instagram,,Whatsapp,,,Internet,Televisi,,,,Twitter/ X,Instagram,,Whatsapp,,,Internet,,,,,Twitter/ X,Instagram,,Whatsapp,,,Internet,Televisi,,,,,Instagram,,Whatsapp,,,Internet,,,
Sigi,Facebook,,,,Whatsapp,,,,,,,Facebook,,,,Whatsapp,,,,,,,Facebook,,,,Whatsapp,,,,,,,,,,,,,,,,,Tidak Tahu
Sigi,Facebook,,Instagram,Tik Tok,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,Koran,Radio,Internet,,,,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,,Facebook,,Instagram,,Whatsapp,,,Internet,Televisi,,
Sigi,,,,,,Koran,,,,,,,,,,,Koran,,,,,,,,,,,Koran,,,,,,,,,,,Koran,,,,,
Morowali Utara,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,
Morowali,,,,,,,,,,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,,,,,,,,,,,,,,,,,,
Kota Palu,Facebook,Twitter/ X,Instagram,Tik Tok,Whatsapp,,,Internet,,,,,,,,,,,,,,Tidak Tahu,Facebook,Twitter/ X,Instagram,Tik Tok,Whatsapp,,,Internet,,,,,,,,,,,,,,Tidak Tahu
Morowali Utara,Facebook,,Instagram,,,,,,,,,Facebook,,Instagram,,,,,,,,,Facebook,,Instagram,,,,,,,,,Facebook,,Instagram,,,,,,,,
Sigi,,Twitter/ X,Instagram,,,,,,,,,,Twitter/ X,Instagram,,,,,,,,,,Twitter/ X,Instagram,,,,,,,,,,Twitter/ X,Instagram,,,,,,,,
