Daerah,19,20,21,22
Kota Palu,Tidak Berkomentar,Tidak berkomentar,Cuaca Ekstrem,"Komoditas Perekonomian, Dampak Tambang"
Kota Palu,"Energi Terbarukan, PLTU","PLTS, Panel Terapung Laut","Cuaca Ekstrem, Deforestasi","Dampak Tambang, Deforestasi, Emisi Karbon"
Kota Palu,"Bio Energi, Alternatif BBM",Energi surya,Cuaca Ekstrem,Pemanfaatan Tambang
Kota Palu,Tidak Berkomentar,Minyak bumi,Cuaca Ekstrem,Pasokan Mineral Menurun
Kota Palu,"Baterai Nikel, Teknologi","Dampak PLTA, Kerugian Petani",Pencemaran,Dampak Tambang
Kota Palu,"Energi Terbarukan, Energi Air",Energi nuklir,Cuaca Ekstrem,Tidak Tahu
Kota Palu,"Dampak Iklim, Energi Alternatif, Minyak Bumi","PLTA, Energi Terbarukan,","Emisi Karbon, Efek Rumah Kaca","Nikel, Sumber Daya Terbatas"
Kota Palu,"Energi Ramah Lingkungan, Baterai Nikel, Alternatif BBM, Emisi Karbon","Energi Surya, Biaya, Edukasi, Tenaga Matahari","Cuaca Ekstrem, Emisi Global","Nikel, Kerusakan Lingkungan"
Kota Palu,"Energi Terbarukan, Bahan Bakar Baru",Kendaraan listrik,Cuaca Ekstrem,Tidak Tahu
Kota Palu,Tidak Berkomentar,"Energi Terbarukan, Sumber Energi, Tenaga Matahari, Panas Bumi, Tenaga Angin, Tenaga Air, biomassa",Efek Rumah Kaca,"Aset Pendapatan Daerah, Kerusakan Lingkungan"
Kota Palu,"Emisi Karbon, BBM, PLTU","PLTU, emisi","Emisi Karbon, Pencemaran","Nikel, Perekonomian Nasional"
Kota Palu,"Energi Alternatif, Baterai Nikel","Energi ramah lingkunganEnergi Ramah Lingkungan, Energi dari Sumber Daya Alam","Pemanasan Global, Cuaca Ekstrem","Mineral, Dampak Polusi"
Kota Palu,Tidak Berkomentar,Kendaraan listrik,Cuaca Ekstrem,Tidak Tahu
Kota Palu,"Energi Terbarukan, Pengganti Energi Fosil",Tidak berkomentar,Cuaca Ekstrem,Tidak Tahu
Kota Palu,"Energi Alternatif, Teknologi","PLTA, Air Kering, Tenaga Surya, Tenaga Matahari",Cuaca Ekstrem,Komoditas Perekonomian
Kota Palu,"Konversi Energi, Kendaraan Listrik","PLTA, Energi Alam, Tenaga Air, Tenaga Matahari, Tenaga Angin",Pemanasan Global,Nikel
Kota Palu,"Konversi Energi, Bahan Bakar Minyak",PLTA,Cuaca Ekstrem,Emas
Kota Palu,"Bahan Bakar Gas, Minyak Tanah",PLTN,Cuaca Ekstrem,Nikel
Kota Palu,"Energi Alternatif, Nikel, Etanol, Sinergi","Energi Nuklir, Pembangkit Tenaga Air, Batu Bara","Pemanasan Global, Polusi","Pemasukan Daerah, Dampak Tambang"
Prov Palu,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Cuaca Ekstrem,Mineral
Prov Palu,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Tindakan Manusia,Mineral
Sigi,"Energi Terbarukan, Inovasi Kebijakan","Energi Terbarukan, Batu Bara",Bencana,"Pembebasan Lahan, Pembukaan Lahan"
Prov Palu,"Konversi Energi, Energi Non-Fosil","Energi Alternatif, Sumber Energi, Tenaga Air, Tenaga Angin",Perubahan Kondisi Iklim,Mineral
Prov Palu,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Perubahan Kondisi Iklim,Mineral
Prov Palu,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Cuaca Ekstrem,Tidak Tahu
Prov Palu,Konversi Energi,"PLTA, Energi Alam, Tenaga Air, Tenaga Angin",Cuaca Ekstrem,Tidak Tahu
