Daerah,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Kota Palu,3,4,2,1
Kota Palu,3,2,1,4
Kota Palu,4,3,1,2
Kota Palu,4,1,3,2
Kota Palu,4,3,2,1
Kota Palu,1,3,2,4
Kota Palu,4,3,2,1
Kota Palu,4,3,1,2
Kota Palu,1,2,4,3
Kota Palu,2,1,4,3
Kota Palu,3,1,2,4
Kota Palu,,,,
Kota Palu,3,1,2,4
Kota Palu,3,1,2,4
Kota Palu,3,4,1,2
Kota Palu,1,3,4,2
Kota Palu,1,3,2,4
Kota Palu,3,4,2,1
Kota Palu,4,3,2,1
Prov Palu,2,4,1,3
Prov Palu,2,4,1,3
Sigi,3,2,4,1
Prov Palu,3,1,2,4
Prov Palu,,,,
Prov Palu,2,4,1,3
Prov Palu,2,3,1,4
Prov Palu,2,1,3,4
Sigi,3,4,1,2
Morowali,2,3,1,4
Sigi,4,3,1,2
Prov Palu,2,4,1,3
Prov Palu,1,3,2,4
Kota Palu,2,4,1,3
Kota Palu,4,3,2,1
Morowali Utara,4,2,3,1
Kota Palu,4,3,1,2
Morowali,3,4,1,2
Sigi,3,2,1,4
Sigi,2,3,1,4
Kota Palu,1,2,3,4
Prov Palu,2,3,1,4
Sigi,2,3,1,4
Sigi,3,2,1,4
Sigi,4,1,2,3
Morowali Utara,3,4,1,2
Morowali,2,3,1,4
Kota Palu,2,3,1,4
Morowali Utara,2,4,3,1
Sigi,2,4,1,3
Morowali Utara,3,4,1,2
Sigi,3,2,1,4
Morowali Utara,4,3,1,2
Sigi,3,2,1,4
Prov Palu,2,3,1,4
Kota Palu,3,4,2,1
Sigi,3,2,1,4
Prov Palu,1,3,2,4
Sigi,1,2,3,4
,2,3,1,4
Prov Palu,2,3,1,4
Sigi,2,1,3,4
Morowali,2,3,1,4
Kota Palu,3,1,2,4
,,,,
Morowali,3,4,2,1
Sigi,3,2,1,4
Prov Palu,3,4,2,1
Sigi,3,1,2,4
Kota Palu,3,4,2,1
Prov Palu,2,3,1,4
Sigi,2,1,3,4
Sigi,3,1,4,2
Prov Palu,4,2,3,1
Sigi,2,3,1,4
Morowali,2,3,1,4
Prov Palu,3,2,4,1
Prov Palu,2,1,3,4
Prov Palu,3,4,1,2
Morowali,4,3,1,2
Prov Palu,3,4,1,2
Sigi,3,2,1,4
Prov Palu,2,3,1,4
Morowali,4,3,1,2
Morowali,2,3,1,4
Prov Palu,3,2,1,4
Prov Palu,3,4,1,2
Kota Palu,2,3,1,4
Morowali Utara,3,4,2,1
Morowali,3,4,1,2
Morowali Utara,1,3,4,2
Morowali Utara,2,3,4,1
Prov Palu,1,3,2,4
Prov Palu,3,4,2,1
Morowali,2,4,3,1
Sigi,2,3,1,4
Morowali,3,4,1,2
Morowali,4,2,1,3
Sigi,1,2,3,4
Morowali,3,4,1,2
Prov Palu,3,4,2,1
Sigi,4,3,1,2
Morowali,3,4,1,2
Morowali,2,3,1,4
Morowali,2,3,1,4
Morowali,1,3,2,4
Morowali,3,4,2,1
Morowali,3,2,1,4
Kota Palu,2,3,1,4
Morowali,4,3,1,2
Sigi,3,2,1,4
Morowali,4,2,1,3
Prov Palu,1,4,3,2
Prov Palu,4,3,1,2
Prov Palu,2,1,3,4
Morowali,1,3,4,2
Morowali,1,4,2,3
Prov Palu,2,3,1,4
Sigi,3,1,2,4
Morowali,3,4,1,2
Prov Palu,2,3,4,1
Sigi,1,2,4,3
Morowali,4,2,3,1
Kota Palu,1,3,2,4
Morowali,4,3,2,1
Morowali,3,4,2,1
Morowali Utara,3,4,1,2
Sigi,3,2,1,4
Morowali Utara,4,3,1,2
Kota Palu,2,4,1,3
Prov Palu,3,1,4,2
Kota Palu,3,1,2,4
Prov Palu,2,3,1,4
Sigi,2,1,3,4
Prov Palu,4,3,2,1
Sigi,3,4,2,1
Prov Palu,4,2,1,3
Sigi,3,1,2,4
Prov Palu,4,3,2,1
Prov Palu,3,2,1,4
Sigi,2,3,1,4
Prov Palu,4,1,2,3
Kota Palu,2,4,1,3
Prov Palu,2,3,1,4
Prov Palu,3,2,1,4
Prov Palu,1,3,2,4
Prov Palu,2,1,3,4
Kota Palu,4,3,2,1
