Daerah,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Kota Palu,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
Kota Palu,,,,,Tidak,Tidak,Tidak,Tidak
Kota Palu,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak
Kota Palu,,,,,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Kota Palu,,,,,,,,
Prov Palu,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Morowali,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Sigi,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Morowali Utara,Ya,Ya,Ya,Ya,,Ya,,Ya
Kota Palu,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Morowali,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
Sigi,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak
Sigi,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak
Kota Palu,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Sigi,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
Sigi,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
Morowali Utara,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
Morowali,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
