Daerah,Memasukkannya dalam visi-misi pasangan calon - Transisi Energi,Memasukkannya dalam visi-misi pasangan calon - Energi Baru Terbarukan,Memasukkannya dalam visi-misi pasangan calon - Krisis Iklim/Perubahan Iklim,Memasukkannya dalam visi-misi pasangan calon - Mineral Kritis,Menyampaikannya sebagai materi kampanye atau sosialisasi - Transisi Energi,Menyampaikannya sebagai materi kampanye atau sosialisasi - Energi Baru Terbarukan,Menyampaikannya sebagai materi kampanye atau sosialisasi - Krisis Iklim/Perubahan Iklim,Menyampaikannya sebagai materi kampanye atau sosialisasi - Mineral Kritis,Mensosialisasikannya ke publik melalui kegiatan khusus - Transisi Energi,Mensosialisasikannya ke publik melalui kegiatan khusus - Energi Baru Terbarukan,Mensosialisasikannya ke publik melalui kegiatan khusus - Krisis Iklim/Perubahan Iklim,Mensosialisasikannya ke publik melalui kegiatan khusus - Mineral Kritis,Menciptakan forum warga yang memfasilitasi diskusi mengenai isu terkait - Transisi Energi,Menciptakan forum warga yang memfasilitasi diskusi mengenai isu terkait - Energi Baru Terbarukan,Menciptakan forum warga yang memfasilitasi diskusi mengenai isu terkait - Krisis Iklim/Perubahan Iklim,Menciptakan forum warga yang memfasilitasi diskusi mengenai isu terkait - Mineral Kritis,"Mencantumkannya dalam berbagai selebaran, spanduk, pamflet, dan sejenisnya - Transisi Energi","Mencantumkannya dalam berbagai selebaran, spanduk, pamflet, dan sejenisnya - Energi Baru Terbarukan","Mencantumkannya dalam berbagai selebaran, spanduk, pamflet, dan sejenisnya - Krisis Iklim/Perubahan Iklim","Mencantumkannya dalam berbagai selebaran, spanduk, pamflet, dan sejenisnya - Mineral Kritis","Membentuk forum diskusi yang melibatkan masyarakat, organisasi masyarakat sipil (CSO) dan perwakilan pemerintah - Transisi Energi","Membentuk forum diskusi yang melibatkan masyarakat, organisasi masyarakat sipil (CSO) dan perwakilan pemerintah - Energi Baru Terbarukan","Membentuk forum diskusi yang melibatkan masyarakat, organisasi masyarakat sipil (CSO) dan perwakilan pemerintah - Krisis Iklim/Perubahan Iklim","Membentuk forum diskusi yang melibatkan masyarakat, organisasi masyarakat sipil (CSO) dan perwakilan pemerintah - Mineral Kritis",Memasukannya sebagai bahan materi dalam debat Pilkada - Transisi Energi,Memasukannya sebagai bahan materi dalam debat Pilkada - Energi Baru Terbarukan,Memasukannya sebagai bahan materi dalam debat Pilkada - Krisis Iklim/Perubahan Iklim,Memasukannya sebagai bahan materi dalam debat Pilkada - Mineral Kritis,Lainnya - Transisi Energi,Lainnya - Energi Baru Terbarukan,Lainnya - Krisis Iklim/Perubahan Iklim,Lainnya - Mineral Kritis
Kota Palu,,,,,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,,,,,,,,,,,,
Kota Palu,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,,,,,,,,,,,,
Kota Palu,,,,,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,,,,
Kota Palu,,,,Mineral Kritis,Transisi Energi,,,,Transisi Energi,,Krisis Iklim/Perubahan Iklim,,Transisi Energi,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,Mineral Kritis,Transisi Energi,,Krisis Iklim/Perubahan Iklim,,,,,
Kota Palu,,,,,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,
Kota Palu,,,Krisis Iklim/Perubahan Iklim,,,Energi Baru Terbarukan,,,,Energi Baru Terbarukan,,,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,,,,Mineral Kritis,,Energi Baru Terbarukan,,,,,,
Kota Palu,,,,,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,
Kota Palu,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,
Kota Palu,Transisi Energi,,Krisis Iklim/Perubahan Iklim,,Transisi Energi,,Krisis Iklim/Perubahan Iklim,,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,Transisi Energi,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,
Kota Palu,,,,,,,,,,,,,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,
