Daerah,Transisi Energi,Energi Baru Terbarukan,Krisis/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis/Perubahan Iklim,Mineral Kritis
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Sudah,Tidak Tahu,Sudah,Sudah,Kurang Yakin,Kurang Yakin,Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Sudah,Sudah,Sudah,Kurang Yakin,Kurang Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Sangat Yakin,Kurang Yakin,Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Kurang Yakin,Yakin,Yakin,Kurang Yakin
Kota Palu,Ya,Tidak,Ya,Tidak Tahu,Belum,Tidak Tahu,Tidak Tahu,Tidak Tahu,Kurang Yakin,Kurang Yakin,Tidak Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Sudah,Belum,Kurang Yakin,Kurang Yakin,Yakin,Kurang Yakin
Kota Palu,Tidak Tahu,Tidak Tahu,Ya,Tidak Tahu,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Kurang Yakin,Kurang Yakin,Kurang Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Tidak Yakin,Tidak Yakin,Tidak Yakin,Tidak Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Morowali Utara,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Kota Palu,,,,,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Morowali,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Sigi,Tidak,Ya,Ya,Tidak,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Sigi,Tidak Tahu,Ya,Ya,Tidak Tahu,Belum,Belum,Sudah,Belum,Kurang Yakin,Kurang Yakin,Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Kurang Yakin,Kurang Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Sigi,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,,,,
Morowali Utara,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Morowali Utara,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,,,,
Morowali Utara,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Tidak Tahu,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,
Morowali Utara,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Sangat Yakin,Sangat Yakin
Sigi,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Sigi,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Yakin,Yakin,Yakin
,,Ya,Ya,Ya,Belum,,,,Tidak Yakin,Tidak Yakin,Yakin,Tidak Yakin
Morowali,Ya,Ya,Ya,Tidak,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Kota Palu,Ya,Ya,Tidak,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,,,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Belum,Tidak Yakin,Kurang Yakin,Kurang Yakin,Tidak Yakin
Sigi,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,,Sudah,Sudah,Sudah,Sudah,Sangat Yakin,Sangat Yakin,Sangat Yakin,Sangat Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Yakin,Yakin,Yakin,Yakin
Prov Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Sigi,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Yakin,Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Kurang Yakin,Tidak Yakin,Kurang Yakin,Kurang Yakin
Prov Palu,Ya,Ya,Ya,Ya,Belum,Belum,Sudah,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
Kota Palu,Ya,Ya,Ya,Ya,Sudah,Sudah,Sudah,Sudah,Yakin,Yakin,Yakin,Yakin
Morowali Utara,Ya,Ya,Ya,Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Kurang Yakin,Kurang Yakin,Yakin,Yakin
Morowali,Ya,Ya,Ya,Ya,Belum,Belum,Belum,Belum,Tidak Yakin,Tidak Yakin,Tidak Yakin,Tidak Yakin
Morowali Utara,Ya,Ya,Ya,Ya,Sudah,Belum,Belum,Belum,Kurang Yakin,Kurang Yakin,Kurang Yakin,Kurang Yakin
