Daerah,Transisi Energi,Energi Terbarukan,Krisis/Perubahan Iklim,Mineral Kritis
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Tidak,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Tidak,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Tidak
Kota Palu,Tidak,Tidak,Tidak,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Tidak,Tidak
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Tidak
Prov Palu,Tidak,Tidak,Ya,Tidak
Prov Palu,Tidak,Tidak,Tidak,Tidak
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Tidak,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Morowali Utara,,Ya,,Ya
Kota Palu,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Tidak
Sigi,Tidak,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali Utara,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Morowali Utara,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali Utara,Ya,Ya,Ya,Ya
Sigi,Tidak,Tidak,Tidak,Tidak
Morowali Utara,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,,,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Morowali Utara,,,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali Utara,Ya,Ya,Tidak,Ya
Morowali Utara,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Sigi,Tidak,Tidak,Tidak,Tidak
Morowali,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali,Tidak,Tidak,Tidak,Tidak
Morowali,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Tidak,Ya
Morowali,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Tidak
Morowali,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali,Ya,Ya,Ya,Ya
Morowali Utara,Tidak,Tidak,Ya,Ya
Sigi,Ya,Ya,Ya,Tidak
Morowali Utara,,Ya,Ya,Ya
Kota Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Kota Palu,Tidak,Ya,Ya,Tidak
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Tidak,Tidak,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Sigi,Ya,Ya,Tidak,Tidak
Prov Palu,Tidak,Ya,Ya,Tidak
Kota Palu,Ya,Ya,Ya,Ya
Prov Palu,Ya,Ya,Ya,Ya
Prov Palu,Tidak,Tidak,Tidak,Tidak
Prov Palu,Ya,Tidak,Ya,Ya
Prov Palu,Tidak,Ya,Ya,Ya
Kota Palu,Tidak,Tidak,Ya,Ya
