type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,09,-8.0365846865,114.4619008619, , ,true, , ,1508, , ,2025-02-22T01:30:57Z, , ,2025/02/22 08:30:57
TRACK,09,-8.0365854409,114.4619006943, , ,False, , ,1497, , ,2025-02-22T01:30:58Z, , ,2025/02/22 08:30:58
TRACK,09,-8.0365864467,114.4619000237, , ,False, , ,1476, , ,2025-02-22T01:30:59Z, , ,2025/02/22 08:30:59
TRACK,09,-8.0365884583,114.4618993532, , ,False, , ,1446, , ,2025-02-22T01:31:01Z, , ,2025/02/22 08:31:01
TRACK,09,-8.0365905538,114.4618991017, , ,False, , ,1421, , ,2025-02-22T01:31:03Z, , ,2025/02/22 08:31:03
TRACK,09,-8.0365926493,114.4618991856, , ,False, , ,1399, , ,2025-02-22T01:31:05Z, , ,2025/02/22 08:31:05
TRACK,09,-8.0365947448,114.4618990179, , ,False, , ,1376, , ,2025-02-22T01:31:07Z, , ,2025/02/22 08:31:07
TRACK,09,-8.0365960859,114.4618990179, , ,False, , ,1358, , ,2025-02-22T01:31:09Z, , ,2025/02/22 08:31:09
TRACK,09,-8.0365970917,114.4618991856, , ,False, , ,1332, , ,2025-02-22T01:31:11Z, , ,2025/02/22 08:31:11
TRACK,09,-8.0365980137,114.4618991017, , ,False, , ,1303, , ,2025-02-22T01:31:13Z, , ,2025/02/22 08:31:13
TRACK,09,-8.0365992710,114.4618986826, , ,False, , ,1272, , ,2025-02-22T01:31:15Z, , ,2025/02/22 08:31:15
TRACK,09,-8.0366001930,114.4618981797, , ,False, , ,1258, , ,2025-02-22T01:31:17Z, , ,2025/02/22 08:31:17
TRACK,09,-8.0366006959,114.4618972577, , ,False, , ,1245, , ,2025-02-22T01:31:19Z, , ,2025/02/22 08:31:19
TRACK,09,-8.0366015341,114.4618957490, , ,False, , ,1232, , ,2025-02-22T01:31:21Z, , ,2025/02/22 08:31:21
TRACK,09,-8.0366018694,114.4618949946, , ,False, , ,1220, , ,2025-02-22T01:31:23Z, , ,2025/02/22 08:31:23
